object,kabe_1,130,720,0,20,2,130,740,97,21,
object,kabe_1,390,730,0,20,2,390,750,90,10,
object,kabe_1,610,730,-10,5,2,600,735,80,10,
object,yuka_1,130,650,-17.5,15,2,112.5,665,275,50,
object,yuka_1,360,650,-11.25,15,2,348.75,665,282.5,50,
object,yuka_1,590,650,-10,15,2,580,665,280,50,
object,kaidann_1,750,690,20,0,4,2,720,640,820,740
object,kabe_1,110,810,-7,20,2,103,830,86,0,
object,kabe_1,370,800,-10,9,2,360,809,80,0,
object,kabe_1,600,810,2.5,17,2,602.5,827,105,0,
object,kabe_1,1150,810,5,15,2,1155,825,110,10,
object,kabe_1,890,800,-10,25,2,880,825,80,10,
object,kabe_1,1410,810,0,20,2,1410,830,100,0,
object,kabe_1,1690,810,-10,20,2,1680,830,80,0,
object,yuka_1,950,750,5,15,2,955,765,270,50,
object,yuka_1,1190,750,1,15,2,1191,765,270,50,
object,yuka_1,1420,750,-5,15,2,1415,765,270,50,
object,yuka_1,1660,750,-6.25,15,2,1653.75,765,272.5,50,
object,yuka_1,2440,650,-2.5,17.5,2,2437.5,667.5,265,55,
object,yuka_1,2210,650,-2.5,17.5,2,2207.5,667.5,265,55,
object,yuka_1,2010,650,20,17.5,2,2020,667.5,220,55,
object,yuka_1,2660,650,10,90,2,2670,740,260,200,
object,kaidann_2,1850,690,0,0,4,2,1790,740,1910,640
object,yuka_1,2920,810,-7.5,17.5,2,2912.5,827.5,255,55,
object,yuka_1,3150,810,2.5,17.5,2,3152.5,827.5,265,55,
object,yuka_1,3350,810,-2.5,17.5,2,3347.5,827.5,275,55,
object,yuka_1,3610,640,-2.5,95,2,3607.5,735,275,210,
object,yuka_1,3850,640,-17.5,17.5,2,3832.5,657.5,235,55,
object,yuka_1,4190,730,-1.25,18.75,2,4188.75,748.75,277.5,57.5,
object,yuka_1,4670,730,-1.5,17.5,2,4668.5,747.5,277,55,
object,yuka_1,4910,730,-2.5,17.5,2,4907.5,747.5,265,55,
object,yuka_1,4430,730,2.5,17.5,2,4432.5,747.5,265,55,
object,kaidann_1,4010,680,5,-5,4,2,3950,630,4080,720
object,yuka_1,5740,640,-2.5,17.5,2,5737.5,657.5,275,55,
object,yuka_1,5980,640,-2.5,17.5,2,5977.5,657.5,275,55,
object,yuka_1,5260,640,17.5,17.5,2,5277.5,657.5,235,55,
object,yuka_1,6140,640,0,100,2,6140,740,280,220,
object,yuka_1,5500,640,-1.5,15,2,5498.5,655,277,50,
object,kaidann_2,5110,680,-10,-5,4,2,5040,720,5160,630
object,yuka_1,7100,600,-7,115,2,7093,715,286,250,
object,yuka_1,7340,600,-10,17.5,2,7330,617.5,260,55,
object,yuka_1,7920,690,-2.5,17.5,2,7917.5,707.5,275,55,
object,yuka_1,8390,690,-2.5,17.5,2,8387.5,707.5,265,55,
object,yuka_1,8150,690,-2.5,17.5,2,8147.5,707.5,275,55,
object,yuka_1,7680,690,17.5,17.5,2,7697.5,707.5,235,55,
object,kaidann_1,7510,640,10,-5,4,2,7460,590,7580,680
object,yuka_1,8630,690,-2.5,17.5,2,8627.5,707.5,275,55,
object,yuka_1,8960,480,-7.5,17.5,2,8952.5,497.5,285,55,
object,yuka_1,9200,480,-2.5,17.5,2,9197.5,497.5,275,55,
object,yuka_1,9360,480,-2.5,17.5,2,9357.5,497.5,275,55,
object,yuka_1,9750,480,-7.5,17.5,2,9742.5,497.5,285,55,
object,yuka_1,9990,480,2.5,17.5,2,9992.5,497.5,265,55,
object,yuka_1,8870,690,2.5,17.5,2,8872.5,707.5,265,55,
object,yuka_1,9110,690,-2.5,17.5,2,9107.5,707.5,275,55,
